model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,train_loss,validation_loss,mae_gap,rmse_gap
distance_gnn_small,1,59,15,0.48869748842918265,0.5700374760187397,0.13039735668600483,0.33890228271484374,0.40865861164604805,0.25865044315426333,0.32494272885181136,0.1670018583536148,-0.1497952057143389,-0.1613788643726916
distance_gnn_small,2,59,15,0.4313602528329623,0.49465489483659214,0.29266620455357684,0.36780923207600913,0.3965667044540301,0.54431466489585,0.24468346028509785,0.15726515650749207,-0.06355102075695318,-0.09808819038256206
distance_gnn_small,3,59,15,0.4305160086033708,0.501917456513378,0.2783120784494645,0.46338264147440594,0.5061024110060757,0.12389155484235537,0.251921123746088,0.2561396658420563,0.03286663287103514,0.004184954492697623
distance_gnn_small,4,59,15,0.2842458385532185,0.30895087447526054,0.6640353050367221,0.3568156083424886,0.41316803988926526,0.6737611738012715,0.09545064578622074,0.1707078367471695,0.0725697697892701,0.10421716541400472
distance_gnn_small,5,60,14,0.41808822949727376,0.5163804935263737,0.2763173197186516,0.5831027201243809,0.6131028123220296,-0.792822929140603,0.2666488096117973,0.37589502334594727,0.16501449062710716,0.09672231879565585
distance_gnn_medium,1,59,15,0.465169995518054,0.518283405270871,0.2811328447096163,0.24275848070780437,0.2767489666716529,0.6600040546898032,0.2686176903672137,0.07658998668193817,-0.22241151481024962,-0.24153443859921814
distance_gnn_medium,2,59,15,0.5540714102276301,0.6474053818484303,-0.2116366382123347,0.4555025736490885,0.5690248759330251,0.0618007933968131,0.41913371596295956,0.3237892985343933,-0.09856883657854154,-0.07838050591540524
distance_gnn_medium,3,59,15,0.5736491518505549,0.6931695750918766,-0.37646071268135706,0.7272980690002442,0.8329144267045542,-1.3729130410276609,0.48048403972791415,0.6937464475631714,0.1536489171496893,0.13974485161267758
distance_gnn_medium,4,59,15,0.5625305256601107,0.6804727455474091,-0.6298072858881258,0.5324240525563558,0.5919003382594027,0.3304555991856839,0.4630431525282941,0.35034602880477905,-0.030106473103754916,-0.08857240728800642
distance_gnn_medium,5,60,14,0.46152606010437014,0.5712683751928388,0.11429542565236406,0.6318518093654087,0.6966290332754215,-1.3145892004685034,0.32634755621353784,0.48529210686683655,0.1703257492610386,0.12536065808258268
