fold_id,sample_id,membrane_name_raw,source_sheet,source_row_excel,backbone_family,contortion_unit_family,modification_family
1,S058,PIM-Trip-TB,Sheet1,60,,,
1,S059,PIM-Trip-TB,Sheet1,61,,,
2,S008,Brominated vinylated PIM-1,Sheet1,10,,,
2,S010,Vinylated PIM-1,Sheet1,12,,,
3,S005,AO−PIM-1,Sheet1,7,,,
3,S009,Thiophenated vinylated PIM-1,Sheet1,11,,,
4,S070,PIM-PI-12,Sheet1,72,,,
5,S006,PIM-1-M,Sheet1,8,,,
