model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
gcn_small,1,iterative_loss,22,0.03595376866204398,0.1184835433959961
gcn_small,2,iterative_loss,31,0.03137288041608898,0.021331727504730225
gcn_small,3,iterative_loss,21,0.025260949017185914,0.20414772629737854
gcn_small,4,iterative_loss,22,0.04207817922558701,0.06293759495019913
gcn_small,5,iterative_loss,60,0.030033678796730544,0.04049432650208473
gcn_medium,1,iterative_loss,21,0.04319860812808786,0.3124488592147827
gcn_medium,2,iterative_loss,22,0.0521001072371738,0.0855136439204216
gcn_medium,3,iterative_loss,21,0.024467440779533303,0.3692472279071808
gcn_medium,4,iterative_loss,21,0.03536946107551717,0.0703984871506691
gcn_medium,5,iterative_loss,65,0.03868189795563618,0.06152448430657387
