model_name,fold_id,iteration,train_loss,validation_loss
gcn_medium,5,1,0.4947630433659804,0.0532296821475029
gcn_medium,5,2,0.09601530217026409,0.3410675823688507
gcn_medium,5,3,0.0889043754391503,0.18061421811580658
gcn_medium,5,4,0.06269630462976925,0.08971751481294632
gcn_medium,5,5,0.06780636544224986,0.26187363266944885
gcn_medium,5,6,0.07448459521197436,0.26121780276298523
gcn_medium,5,7,0.04804768544017223,0.12392090260982513
gcn_medium,5,8,0.06222551459806007,0.1192735880613327
gcn_medium,5,9,0.04585590488032291,0.20961491763591766
gcn_medium,5,10,0.05010434416563887,0.20645639300346375
gcn_medium,5,11,0.049132657743859706,0.14958243072032928
gcn_medium,5,12,0.04656787569585599,0.20125077664852142
gcn_medium,5,13,0.0644679159056722,0.20489750802516937
gcn_medium,5,14,0.052210059245688875,0.15794168412685394
gcn_medium,5,15,0.04508470214511219,0.17528972029685974
gcn_medium,5,16,0.03967430272646118,0.2006365954875946
gcn_medium,5,17,0.04185058643812673,0.1695287972688675
gcn_medium,5,18,0.053654834105257405,0.16567710041999817
gcn_medium,5,19,0.04250566818212208,0.17995309829711914
gcn_medium,5,20,0.061968607207139335,0.15537361800670624
gcn_medium,5,21,0.048246674108923526,0.17437691986560822
