model_name,fold_id,iteration,train_loss,validation_loss
gcn_small,5,1,0.9579971220932508,0.16004742681980133
gcn_small,5,2,0.09245909554393668,0.025757882744073868
gcn_small,5,3,0.1284318648670849,0.038306672126054764
gcn_small,5,4,0.06433929803601482,0.10290873050689697
gcn_small,5,5,0.06420490871134557,0.150962695479393
gcn_small,5,6,0.05816985418399175,0.11864904314279556
gcn_small,5,7,0.05492860611462802,0.06355295330286026
gcn_small,5,8,0.06312208982151851,0.05271407961845398
gcn_small,5,9,0.060443715894954245,0.07909761369228363
gcn_small,5,10,0.05537646544868486,0.09628397226333618
gcn_small,5,11,0.054216074512193076,0.0898088663816452
gcn_small,5,12,0.05462639190648731,0.07345458120107651
gcn_small,5,13,0.051408870047644564,0.07576583325862885
gcn_small,5,14,0.04937392059844314,0.09863025695085526
gcn_small,5,15,0.04495068848655935,0.09683235734701157
gcn_small,5,16,0.03637935286551191,0.09515640884637833
gcn_small,5,17,0.045779923597971596,0.08302939683198929
gcn_small,5,18,0.05006901021197177,0.08220655471086502
gcn_small,5,19,0.04717121828804936,0.08451727777719498
gcn_small,5,20,0.04937839921433152,0.08338483422994614
gcn_small,5,21,0.044673153967188114,0.09196395426988602
gcn_small,5,22,0.05392125990699258,0.08673449605703354
