model_name,n_predictions,mae,rmse,r2
hist_gb,11,0.13126657722752383,0.17784978166006174,-0.2686741419656449
random_forest,11,0.14051688564617604,0.18517926874931137,-0.37539722907822415
svr,11,0.16097155558238693,0.2082225645105787,-0.7389976597376176
ridge,11,0.1862089721970227,0.2553225119457725,-1.6146985888877654
xgboost,11,0.20917649585873155,0.2745952365348378,-2.0243316456857494
