model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,mae_gap,rmse_gap
ridge,1,11,1,0.00934540958708033,0.01475419446103806,0.8209111032412104,0.016948040247419582,0.016948040247419582,,0.007602630660339253,0.0021938457863815222
ridge,2,11,1,0.009254199805315838,0.014756707936905334,0.7461657361435965,0.07529204608141282,0.07529204608141282,,0.06603784627609699,0.06053533814450749
ridge,3,11,1,0.009332187143191496,0.014754454338011133,0.8024022575104863,0.04382411901272332,0.04382411901272332,,0.034491931869531825,0.029069664674712184
ridge,4,11,1,0.009330103732386246,0.0147546722027306,0.8023964219989066,0.04886574271627275,0.04886574271627275,,0.039535638983886505,0.034111070513542154
ridge,5,11,1,0.009339398616602714,0.014754950783946761,0.8234471985775397,0.019260921521289165,0.019260921521289165,,0.009921522904686451,0.004505970737342404
ridge,6,11,1,0.00019842864297832513,0.0002803505141370503,0.9999249181637718,0.07070096670060769,0.07070096670060769,,0.07050253805762936,0.07042061618647064
ridge,7,11,1,0.007289735366945007,0.01227497692255567,0.8707027922757742,0.03354354379901586,0.03354354379901586,,0.026253808432070855,0.021268566876460192
ridge,8,11,1,0.0077209980258210915,0.013921159070580169,0.8336975798613111,0.02420494340211815,0.02420494340211815,,0.01648394537629706,0.010283784331537982
ridge,9,11,1,0.0042417314834632324,0.00926088960299675,0.9296100250637187,0.06357492526417857,0.06357492526417857,,0.05933319378071534,0.05431403566118182
ridge,10,11,1,0.003865581515563957,0.008030413199225274,0.9470725243903108,0.07755759420692238,0.07755759420692238,,0.07369201269135842,0.0695271810076971
ridge,11,11,1,0.009332619933722001,0.014762932444610372,0.7822250062095589,0.04474517238641229,0.04474517238641229,,0.03541255245269029,0.02998223994180192
ridge,12,11,1,0.00933180301712595,0.014761904630110824,0.8155391396258187,0.0007465810503150538,0.0007465810503150538,,-0.008585221966810896,-0.01401532357979577
random_forest,1,11,1,0.011207499999999744,0.014210390504677985,0.8338693822750615,0.02098250000000068,0.02098250000000068,,0.009775000000000937,0.006772109495322696
random_forest,2,11,1,0.010032499999999988,0.012140804016171462,0.8281829815686361,0.07405999999999963,0.07405999999999963,,0.06402749999999964,0.06191919598382817
random_forest,3,11,1,0.011008181818181745,0.014047854009517502,0.8208752308598357,0.03075750000000066,0.03075750000000066,,0.019749318181818916,0.016709645990483156
random_forest,4,11,1,0.010783636363636662,0.013780520919695727,0.8276279119094508,0.03332750000000062,0.03332750000000062,,0.02254386363636396,0.019546979080304894
random_forest,5,11,1,0.011641590909090772,0.014791376691566131,0.8225744021269352,0.0052374999999996175,0.0052374999999996175,,-0.006404090909091154,-0.009553876691566513
random_forest,6,11,1,0.007137499999999567,0.011485496461941238,0.8739822514191166,0.06947249999999902,0.06947249999999902,,0.06233499999999945,0.05798700353805778
random_forest,7,11,1,0.011760227272726888,0.014546958659802031,0.8184098920879346,0.015827500000001327,0.015827500000001327,,0.004067272727274439,0.0012805413401992954
random_forest,8,11,1,0.011786590909090532,0.014575352541346476,0.8177003169634715,0.01560250000000124,0.01560250000000124,,0.003815909090910709,0.0010271474586547643
random_forest,9,11,1,0.00996545454545476,0.0131507220679733,0.8580600672870915,0.027445000000000552,0.027445000000000552,,0.017479545454545792,0.014294277932027252
random_forest,10,11,1,0.011102954545454317,0.013918932842616232,0.840992622373304,0.0021199999999997887,0.0021199999999997887,,-0.008982954545454528,-0.011798932842616443
random_forest,11,11,1,0.010016136363636097,0.012785962139819296,0.8366460752081195,0.05000249999999923,0.05000249999999923,,0.03998636363636313,0.037216537860179935
random_forest,12,11,1,0.010859318181818178,0.013716804081291457,0.840733179295748,0.0028224999999997835,0.0028224999999997835,,-0.008036818181818395,-0.010894304081291674
svr,1,11,1,0.034499999999999996,0.03657215781537544,-0.10037021172439076,0.02749999999999997,0.02749999999999997,,-0.007000000000000027,-0.009072157815375473
svr,2,11,1,0.02954545454545453,0.03148304016739517,-0.15537936881044967,0.05600000000000005,0.05600000000000005,,0.02645454545454552,0.02451695983260488
svr,3,11,1,0.032499999999999994,0.03440236514068076,-0.07426709975544932,0.04949999999999999,0.04949999999999999,,0.016999999999999994,0.015097634859319226
svr,4,11,1,0.032499999999999994,0.03440236514068076,-0.07426709975544932,0.04949999999999999,0.04949999999999999,,0.016999999999999994,0.015097634859319226
svr,5,11,1,0.035227272727272725,0.03703652987868255,-0.1123966194388959,0.019499999999999962,0.019499999999999962,,-0.015727272727272763,-0.017536529878682587
svr,6,11,1,0.034136363636363624,0.036277654028591504,-0.25721791511400127,0.03150000000000003,0.03150000000000003,,-0.0026363636363635964,-0.004777654028591476
svr,7,11,1,0.0334090909090909,0.035558850068327826,-0.08503361559082534,0.03949999999999998,0.03949999999999998,,0.006090909090909077,0.003941149931672154
svr,8,11,1,0.0334090909090909,0.035558850068327826,-0.08503361559082534,0.03949999999999998,0.03949999999999998,,0.006090909090909077,0.003941149931672154
svr,9,11,1,0.03459090909090909,0.03663921148417113,-0.10178697398051884,0.026499999999999968,0.026499999999999968,,-0.00809090909090912,-0.010139211484171164
svr,10,11,1,0.03459090909090909,0.03663921148417113,-0.10178697398051884,0.026499999999999968,0.026499999999999968,,-0.00809090909090912,-0.010139211484171164
svr,11,11,1,0.033681818181818174,0.035849115622412366,-0.28416147786017376,0.03650000000000003,0.03650000000000003,,0.0028181818181818585,0.0006508843775876669
svr,12,11,1,0.03595454545454545,0.03733965720249718,-0.18021218099395497,0.01150000000000001,0.01150000000000001,,-0.024454545454545437,-0.025839657202497167
hist_gb,1,11,1,0.034295454545454546,0.03635267590500795,-0.08720245380002467,0.026749999999999996,0.026749999999999996,,-0.00754545454545455,-0.009602675905007955
hist_gb,2,11,1,0.02778409090909091,0.030277387114058335,-0.06858252692574474,0.05987500000000001,0.05987500000000001,,0.0320909090909091,0.029597612885941676
hist_gb,3,11,1,0.02967045454545455,0.033218521497118826,-0.0016045086117653096,0.03912500000000002,0.03912500000000002,,0.009454545454545472,0.005906478502881195
hist_gb,4,11,1,0.02967045454545455,0.033218521497118826,-0.0016045086117653096,0.03912500000000002,0.03912500000000002,,0.009454545454545472,0.005906478502881195
hist_gb,5,11,1,0.031375000000000014,0.03519432660245114,-0.004487189690763227,0.005375000000000019,0.005375000000000019,,-0.025999999999999995,-0.029819326602451124
hist_gb,6,11,1,0.02500000000000001,0.03261204462381123,-0.015987178677445923,0.05199999999999999,0.05199999999999999,,0.026999999999999982,0.01938795537618876
hist_gb,7,11,1,0.028000000000000004,0.03572877628110785,-0.09542856332354632,0.019000000000000017,0.019000000000000017,,-0.008999999999999987,-0.016728776281107832
hist_gb,8,11,1,0.028000000000000004,0.03572877628110785,-0.09542856332354632,0.019000000000000017,0.019000000000000017,,-0.008999999999999987,-0.016728776281107832
hist_gb,9,11,1,0.029034090909090916,0.03659458091401959,-0.09910441452776886,0.004375000000000018,0.004375000000000018,,-0.024659090909090898,-0.03221958091401957
hist_gb,10,11,1,0.029034090909090916,0.03659458091401959,-0.09910441452776886,0.004375000000000018,0.004375000000000018,,-0.024659090909090898,-0.03221958091401957
hist_gb,11,11,1,0.02368181818181819,0.03425406412516491,-0.17243009562818945,0.0665,0.0665,,0.04281818181818181,0.0322459358748351
hist_gb,12,11,1,0.025215909090909098,0.03650005837479767,-0.12773369728704975,0.03837499999999999,0.03837499999999999,,0.013159090909090895,0.0018749416252023254
xgboost,1,11,1,0.0006270665472204047,0.0007984150341182117,0.9994755608957735,0.05513535976409911,0.05513535976409911,,0.05450829321687871,0.0543369447299809
xgboost,2,11,1,0.000585820176384669,0.0007150806885580447,0.9994039518002295,0.07353337359428408,0.07353337359428408,,0.07294755341789941,0.07281829290572603
xgboost,3,11,1,0.0006705711754885616,0.0008201657845706899,0.9993894250700206,0.033852344274520885,0.033852344274520885,,0.03318177309903232,0.033032178489950194
xgboost,4,11,1,0.000635818047956992,0.0007930635020952486,0.9994291110983675,0.04120338511466981,0.04120338511466981,,0.04056756706671282,0.04041032161257456
xgboost,5,11,1,0.0006458839069713299,0.0008237214775332438,0.9994497502394106,0.006589316606521622,0.006589316606521622,,0.005943432699550293,0.005765595128988379
xgboost,6,11,1,0.0003341800299557824,0.0004447916064178783,0.9998110071658094,0.07080852413177491,0.07080852413177491,,0.07047434410181913,0.07036373252535703
xgboost,7,11,1,0.0005624534216794167,0.0007210009619257208,0.9995539131041314,0.06966238808631897,0.06966238808631897,,0.06909993466463955,0.06894138712439325
xgboost,8,11,1,0.0005624534216794167,0.0007210009619257208,0.9995539131041314,0.0014000345468521136,0.0014000345468521136,,0.0008375811251726969,0.0006790335849263928
xgboost,9,11,1,0.0005109566016630747,0.0007042100994264828,0.9995929854874227,0.0245466604232788,0.0245466604232788,,0.024035703821615725,0.023842450323852318
xgboost,10,11,1,0.0005190726843747278,0.0006926701703775232,0.9996062157272931,0.01183760917186738,0.01183760917186738,,0.011318536487492653,0.011144939001489856
xgboost,11,11,1,0.0006223661249334176,0.000779749993638122,0.9993924619191535,0.07966832721233369,0.07966832721233369,,0.07904596108740027,0.07888857721869556
xgboost,12,11,1,0.0006209540367126499,0.000784104643446181,0.9994795638073879,0.03481780982017518,0.03481780982017518,,0.034196855783462536,0.034033705176729004
