model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,train_loss,validation_loss,mae_gap,rmse_gap
gcn_small,1,56,15,0.13583592751196452,0.19855313246544057,-0.09557878914254037,0.15391413370768228,0.17826924721677775,-0.27355851868304515,0.0394233458542398,0.031779926270246506,0.01807820619571776,-0.020283885248662814
gcn_small,2,57,14,0.18664429898847612,0.22582344903951374,-1.3483212064765904,0.17435395291873387,0.26907312363414737,0.030681732830492137,0.05099623140535856,0.07240034639835358,-0.012290346069742247,0.043249674594633636
gcn_small,3,57,14,0.11900651559495089,0.2035215535403007,-0.06321273004171268,0.09761392218726021,0.11549619039176175,0.25260152142291503,0.04142101841014728,0.013339370489120483,-0.021392593407690674,-0.08802536314853894
gcn_small,4,57,14,0.14576334388632523,0.2129157009036904,-0.13279247014889362,0.10284729514803205,0.13948944781874625,-0.2795232391739162,0.045333095548445716,0.01945730485022068,-0.042916048738293175,-0.07342625308494416
gcn_small,5,57,14,0.13729504430503175,0.20486135576545134,-0.10455504141496763,0.11365993533815656,0.16049262880633916,-0.08709134303970067,0.04196817911507791,0.025757882744073868,-0.023635108966875193,-0.044368726959112176
gcn_medium,1,56,15,0.2778415648000581,0.3202403072561084,-1.8499819990518382,0.3007086118062337,0.312405473145322,-2.9111395475941415,0.10255385083811623,0.09759717434644699,0.02286704700617559,-0.007834834110786393
gcn_medium,2,57,14,0.28841818320123774,0.32485751146152836,-3.8596529330469442,0.2611762710980007,0.2971406555229201,-0.182088277719181,0.105532408022044,0.08829257637262344,-0.027241912103237065,-0.02771685593860823
gcn_medium,3,57,14,0.18046216692840844,0.23436551935154498,-0.40989504436366664,0.16013826642717635,0.19058302162259372,-1.0350979047856463,0.054927197203301546,0.036321885883808136,-0.02032390050123209,-0.043782497728951264
gcn_medium,4,57,14,0.12867824968538785,0.19829077132450124,0.017483209820679857,0.10641685553959437,0.12746391089091366,-0.06841492697934903,0.03931922635488343,0.01624704897403717,-0.02226139414579348,-0.07082686043358757
gcn_medium,5,57,14,0.2258982773412738,0.2672789982183386,-0.8801692556494534,0.18313828536442348,0.23071559074574302,-1.2465171707446299,0.07143806496210266,0.0532296821475029,-0.04275999197685032,-0.036563407472595594
