model_name,fold_id,convergence_type,n_iterations,final_train_loss,final_validation_loss
gcn_small,1,iterative_loss,22,0.03228946655456509,0.22102099657058716
gcn_small,2,iterative_loss,25,0.02441550461215931,0.07916747033596039
gcn_small,3,iterative_loss,23,0.05180249493078966,0.07000607997179031
gcn_small,4,iterative_loss,21,0.05461419014292851,0.045846741646528244
gcn_small,5,iterative_loss,22,0.05392125990699258,0.08673449605703354
gcn_medium,1,iterative_loss,23,0.047844664858920236,0.281741201877594
gcn_medium,2,iterative_loss,21,0.04231111989601662,0.18215903639793396
gcn_medium,3,iterative_loss,21,0.048329777362053856,0.14486558735370636
gcn_medium,4,iterative_loss,21,0.0421441893027932,0.10332613438367844
gcn_medium,5,iterative_loss,21,0.048246674108923526,0.17437691986560822
