sample_id,source_sheet,source_row_excel,membrane_name_raw,smiles_single,smiles_triple,occupied_volume_1,occupied_volume_2,ffv,aging_days,thickness_um,p_he_barrer,p_h2_barrer,p_n2_barrer,p_o2_barrer,p_ch4_barrer,p_co2_barrer,sel_h2_n2,sel_h2_ch4,sel_o2_n2,sel_co2_n2,sel_co2_ch4,refs_perm,refs_ffv,backbone_family,contortion_unit_family,modification_family,log10_p_co2_barrer,log10_p_ch4_barrer,log10_p_n2_barrer,log10_ffv,sel_co2_ch4_from_perm,sel_co2_n2_from_perm,log10_sel_co2_ch4,log10_sel_co2_n2,log10_sel_co2_ch4_from_perm,log10_sel_co2_n2_from_perm,sel_co2_ch4_rel_error,sel_co2_n2_rel_error,has_smiles,has_ffv,has_aging,has_thickness,has_co2_perm,has_ch4_perm,has_n2_perm,has_co2_ch4_sel,has_co2_n2_sel,eligible_ffv_pilot,eligible_co2_main,eligible_co2_ch4_pair,eligible_co2_n2_pair
S013,Sheet1,15,PIM-1-SO3H,c1c2CC([C@@](c3cc(c(c(c3C(C)C)S(O)(=O)=O)O*)O*)(C)c2cc2c1Oc1c(O2)c(c(c(c1C#N)*)*)C#N)(C)C,,,,,7.0,,,1670.0,17.0,123.0,11.4,624.0,92.0,146.0,7.13,,54.7,https://doi.org/10.1016/j.memsci.2021.119440,,,,,2.795184589682424,1.0569048513364727,1.2304489213782739,,54.73684210526316,36.705882352941174,1.737987326333431,,1.7382797383459514,1.56473566830415,0.0006735302607523707,,True,False,True,False,True,True,True,True,False,False,True,True,True
S014,Sheet1,16,PIM-1-SO3H,c1c2CC([C@@](c3cc(c(c(c3C(C)C)S(O)(=O)=O)O*)O*)(C)c2cc2c1Oc1c(O2)c(c(c(c1C#N)*)*)C#N)(C)C,,,,,60.0,,,1077.0,8.6,73.4,5.6,361.0,125.0,192.0,8.53,,64.5,https://doi.org/10.1016/j.memsci.2021.119440,,,,,2.5575072019056577,0.7481880270062004,0.9344984512435677,,64.46428571428572,41.97674418604651,1.8095597146352678,,1.8093191748994575,1.6230087506620903,0.0005537098560353115,,True,False,True,False,True,True,True,True,False,False,True,True,True
S017,Sheet1,19,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.319,1.0,,,4230.0,,650.0,1490.0,11840.0,6.51,,,18.23,7.94,https://doi.org/10.1016/j.memsci.2020.118245,,,,,4.073351702386901,3.173186268412274,,-0.4962093169428189,7.946308724832215,,0.8998205024270963,1.2607866686549762,0.9001654339746269,,0.00079454972697915,,True,True,True,False,True,True,False,True,True,True,True,True,False
S018,Sheet1,20,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.248,10.0,,,3540.0,,420.0,700.0,8810.0,8.36,,,20.81,12.61,https://doi.org/10.1016/j.memsci.2020.118246,,,,,3.9449759084120477,2.845098040014257,,-0.6055483191737837,12.585714285714285,,1.1007150865730817,1.318272080211627,1.099877868397791,,0.0019259091424039668,,True,True,True,False,True,True,False,True,True,True,True,True,False
S019,Sheet1,21,Pristine PIM-1,c1(c(cc2c(c1)C(C[C@]12C(Cc2c1cc1c(c2)Oc2c(O1)c(c(c(c2C#N)O*)O*)C#N)(C)C)(C)C)O*)O*,,,,0.248,35.0,,,1930.0,,120.0,240.0,3130.0,16.43,,,26.63,12.95,https://doi.org/10.1016/j.memsci.2020.118247,,,,,3.4955443375464483,2.380211241711606,,-0.6055483191737837,13.041666666666666,,1.1122697684172707,1.4253711664389412,1.1153330958348424,,0.007078507078507088,,True,True,True,False,True,True,False,True,True,True,True,True,False
S020,Sheet1,22,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,0.0,160.0,4540.0,12100.0,1190.0,4330.0,1690.0,21500.0,10.2,,3.6,18.1,12.7,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.332438459915605,3.2278867046136734,3.0755469613925306,,12.721893491124261,18.067226890756302,1.1038037209559568,1.2576785748691846,1.1045517553019317,1.2568914985230746,0.0017238969389182398,0.0018106690189889025,True,False,True,True,True,True,True,True,True,False,True,True,True
S021,Sheet1,23,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,130.0,160.0,3110.0,8440.0,522.0,2570.0,570.0,13200.0,16.2,,4.9,25.3,23.2,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.12057393120585,2.7558748556724915,2.717670503002262,,23.157894736842106,25.28735632183908,1.3654879848908996,1.403120521175818,1.3646990755333586,1.4029034282035877,0.0018148820326678056,0.0004997501249375513,True,False,True,True,True,True,True,True,True,False,True,True,True
S022,Sheet1,24,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,718.0,160.0,2150.0,4820.0,112.0,838.0,113.0,3770.0,43.2,,7.5,33.8,33.5,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.576341350205793,2.0530784434834195,2.0492180226701815,,33.36283185840708,33.660714285714285,1.5250448070368452,1.5289167002776547,1.523262906722373,1.5271233275356113,0.004094571390833526,0.004120879120879067,True,False,True,True,True,True,True,True,True,False,True,True,True
S023,Sheet1,25,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,253.0,160.0,3400.0,8930.0,401.0,2170.0,411.0,10700.0,22.3,,5.41,26.7,26.0,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.02938377768521,2.6138418218760693,2.603144372620182,,26.034063260340634,26.683291770573565,1.414973347970818,1.4265112613645752,1.4155419558091404,1.4262394050650273,0.0013101253977166967,0.000625776383012535,True,False,True,True,True,True,True,True,True,False,True,True,True
S024,Sheet1,26,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,365.0,160.0,2810.0,7160.0,280.0,1580.0,282.0,8020.0,25.6,,5.65,28.6,28.4,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.9041743682841634,2.450249108319361,2.4471580313422194,,28.43971631205674,28.642857142857142,1.4533183400470377,1.4563660331290431,1.4539252599648025,1.4570163369419442,0.0013984616921387278,0.001498501498501431,True,False,True,True,True,True,True,True,True,False,True,True,True
S025,Sheet1,27,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,490.0,160.0,2650.0,6380.0,795.0,1240.0,203.0,6060.0,32.6,,6.34,31.0,29.9,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.782472624166286,2.307496037913213,2.9003671286564705,,29.852216748768473,7.622641509433962,1.4756711883244296,1.4913616938342726,1.4749765862530733,0.8821054955098159,0.0015981020478770993,0.7541083384053561,True,False,True,True,True,True,True,True,True,False,True,True,True
S026,Sheet1,28,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,633.0,160.0,2180.0,5100.0,127.0,935.0,130.0,4350.0,40.1,,7.36,34.2,33.5,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.6384892569546374,2.113943352306837,2.103803720955957,,33.46153846153846,34.25196850393701,1.5250448070368452,1.534026106056135,1.5245459046478005,1.5346855359986804,0.001148105625717615,0.001519546898742824,True,False,True,True,True,True,True,True,True,False,True,True,True
S027,Sheet1,29,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,0.0,64.0,3960.0,9430.0,339.0,1800.0,412.0,9200.0,27.8,,5.31,27.1,22.3,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.963787827345555,2.6148972160331345,2.530199698203082,,22.33009708737864,27.13864306784661,1.3483048630481607,1.4329692908744058,1.3488906113124206,1.433588129142473,0.0013496451739300013,0.0014259434629744273,True,False,True,True,True,True,True,True,True,False,True,True,True
S028,Sheet1,30,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,120.0,64.0,3020.0,7180.0,200.0,1160.0,237.0,6040.0,35.8,,5.79,30.2,25.5,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.7810369386211318,2.374748346010104,2.3010299956639813,,25.485232067510548,30.2,1.4065401804339552,1.4800069429571505,1.406288592611028,1.4800069429571505,0.0005791346074294843,0.0,True,False,True,True,True,True,True,True,True,False,True,True,True
S029,Sheet1,31,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,253.0,64.0,3490.0,8080.0,190.0,1143.0,225.0,5990.0,42.5,,6.01,31.5,26.6,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.7774268223893115,2.3521825181113627,2.278753600952829,,26.622222222222224,31.526315789473685,1.424881636631067,1.4983105537896004,1.425244304277949,1.4986732214364824,0.000835421888053464,0.0008354218880534907,True,False,True,True,True,True,True,True,True,False,True,True,True
S030,Sheet1,32,PIM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cccc1)cc(c(c3)O*)O*)C,,,,,371.0,64.0,3620.0,7730.0,154.0,997.0,163.0,5150.0,50.2,,6.47,33.4,31.6,https://doi.org/10.1016/j.coche.2021.100755,,,,,3.711807229041191,2.2121876044039577,2.187520720836463,,31.595092024539877,33.44155844155844,1.4996870826184039,1.5237464668115646,1.4996196246372333,1.5242865082047279,0.00015531567911786226,0.0012442647173186632,True,False,True,True,True,True,True,True,True,False,True,True,True
S031,Sheet1,33,PIM-DM-Btrip,c12c(cc3c(c1)Oc1c(O3)c(c(c(c1C#N)*)*)C#N)[C@]1(c3c([C@]2(C)c2c1cc1c(c2)cc(c(c1)C)C)cc(c(c3)O*)O*)C,,,,,0.0,114.0,4000.0,11400.0,1020.0,3950.0,1570.0,22000.0,11.3,,3.9,21.8,14.0,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.342422680822207,3.1958996524092336,3.0086001717619175,,14.012738853503185,21.568627450980394,1.146128035678238,1.3384564936046048,1.1465230284129726,1.3338225090602887,0.0009099181073703681,0.010613419679798487,True,False,True,True,True,True,True,True,True,False,True,True,True
S032,Sheet1,34,PIM-DTFM-Btrip,C(F)(F)(F)c1c2cc3[C@]4(c5c(cc6c(c5)Oc5c(O6)c(c(c(c5C#N)*)*)C#N)[C@@](c5c4cc(c(c5)O*)O*)(C)c3cc2cc(c1)C(F)(F)F)C,,,,,0.0,112.0,5860.0,14700.0,3000.0,7770.0,4340.0,42600.0,4.9,,2.59,14.2,9.82,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.629409599102719,3.637489729512511,3.4771212547196626,,9.815668202764977,14.2,0.9921114877869497,1.1522883443830565,0.9919198695902082,1.1522883443830565,0.0004411198813669466,0.0,True,False,True,True,True,True,True,True,True,False,True,True,True
S033,Sheet1,35,PIM-DTFM-Btrip,C(F)(F)(F)c1c2cc3[C@]4(c5c(cc6c(c5)Oc5c(O6)c(c(c(c5C#N)*)*)C#N)[C@@](c5c4cc(c(c5)O*)O*)(C)c3cc2cc(c1)C(F)(F)F)C,,,,,119.0,112.0,4690.0,11300.0,1800.0,5410.0,2150.0,29000.0,6.28,,3.01,16.1,13.5,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.4623979978989565,3.3324384599156054,3.255272505103306,,13.488372093023257,16.11111111111111,1.130333768495006,1.2068258760318498,1.1299595379833507,1.20712549279565,0.0008613264427217273,0.0006901311249136208,True,False,True,True,True,True,True,True,True,False,True,True,True
S034,Sheet1,36,PIM-DTFM-Btrip,C(F)(F)(F)c1c2cc3[C@]4(c5c(cc6c(c5)Oc5c(O6)c(c(c(c5C#N)*)*)C#N)[C@@](c5c4cc(c(c5)O*)O*)(C)c3cc2cc(c1)C(F)(F)F)C,,,,,366.0,112.0,4590.0,10700.0,1300.0,4460.0,1390.0,22900.0,8.23,,3.41,17.5,16.4,https://doi.org/10.1016/j.coche.2021.100755,,,,,4.359835482339888,3.143014800254095,3.113943352306837,,16.47482014388489,17.615384615384617,1.2148438480476977,1.2430380486862944,1.216820682085793,1.2458921300330512,0.004562203895420265,0.0065934065934066715,True,False,True,True,True,True,True,True,True,False,True,True,True
