model_name,fold_id,iteration,train_loss,validation_loss
distance_gnn_small,2,1,1.2260671354699553,0.07412181049585342
distance_gnn_small,2,2,0.10136969727382325,0.025810206308960915
distance_gnn_small,2,3,0.10471785735142858,0.011976494453847408
distance_gnn_small,2,4,0.07023829587718897,0.0327640101313591
distance_gnn_small,2,5,0.06728186092355795,0.009332497604191303
distance_gnn_small,2,6,0.05359791232305661,0.00570793729275465
distance_gnn_small,2,7,0.07313570445566847,0.010916488245129585
distance_gnn_small,2,8,0.06996477682862365,0.0458073616027832
distance_gnn_small,2,9,0.03978927464534839,0.03027486428618431
distance_gnn_small,2,10,0.051431392499229366,0.0101396469399333
distance_gnn_small,2,11,0.04141318118363096,0.008038620464503765
distance_gnn_small,2,12,0.04388810870678801,0.007997955195605755
distance_gnn_small,2,13,0.05002558172533387,0.019460465759038925
distance_gnn_small,2,14,0.06552827234069507,0.018979012966156006
distance_gnn_small,2,15,0.045565716399435414,0.019755974411964417
distance_gnn_small,2,16,0.043416286802344155,0.009564966894686222
distance_gnn_small,2,17,0.032101380981897056,0.013924116268754005
distance_gnn_small,2,18,0.04245244018864213,0.02759835124015808
distance_gnn_small,2,19,0.033717786403078785,0.02381303906440735
distance_gnn_small,2,20,0.03382993999280428,0.027226557955145836
distance_gnn_small,2,21,0.03399857146698132,0.02329103648662567
distance_gnn_small,2,22,0.03127142394843854,0.015227674506604671
distance_gnn_small,2,23,0.031191995007949964,0.03473519906401634
distance_gnn_small,2,24,0.03695854257073319,0.01912951096892357
distance_gnn_small,2,25,0.03267451803804489,0.020431239157915115
distance_gnn_small,2,26,0.02802490812252488,0.026140941306948662
