model_name,fold_id,iteration,train_loss,validation_loss
distance_gnn_medium,5,1,0.590639803754656,0.02007732167840004
distance_gnn_medium,5,2,0.11171671604378182,0.14319391548633575
distance_gnn_medium,5,3,0.06969137437510908,0.09283937513828278
distance_gnn_medium,5,4,0.07208984253699319,0.051778681576251984
distance_gnn_medium,5,5,0.05680904668151287,0.06955166161060333
distance_gnn_medium,5,6,0.04708679396201644,0.07662586867809296
distance_gnn_medium,5,7,0.044273651874901954,0.06161445751786232
distance_gnn_medium,5,8,0.04704160491625468,0.05659451335668564
distance_gnn_medium,5,9,0.057769069284723515,0.08294875174760818
distance_gnn_medium,5,10,0.047107041666382236,0.06621693074703217
distance_gnn_medium,5,11,0.04300240737696489,0.05915761739015579
distance_gnn_medium,5,12,0.040075863793230894,0.07929307967424393
distance_gnn_medium,5,13,0.04707129717918865,0.07432176172733307
distance_gnn_medium,5,14,0.04955269611979786,0.04783810302615166
distance_gnn_medium,5,15,0.04981363316377004,0.06072526052594185
distance_gnn_medium,5,16,0.04163596341223048,0.06373169273138046
distance_gnn_medium,5,17,0.04222403956871284,0.02900017984211445
distance_gnn_medium,5,18,0.048234324183380396,0.06481299549341202
distance_gnn_medium,5,19,0.04053140732279995,0.03776190057396889
distance_gnn_medium,5,20,0.04154825288998453,0.03036288544535637
distance_gnn_medium,5,21,0.028065265728193418,0.0710894912481308
