model_name,fold_id,iteration,train_loss,validation_loss
distance_gnn_small,1,1,1.234154292515346,0.3018195927143097
distance_gnn_small,1,2,0.09051769439663206,0.025628216564655304
distance_gnn_small,1,3,0.1048004361135619,0.065979965031147
distance_gnn_small,1,4,0.058087430362190516,0.19159744679927826
distance_gnn_small,1,5,0.09500867234809059,0.16309140622615814
distance_gnn_small,1,6,0.059364733419248035,0.06321312487125397
distance_gnn_small,1,7,0.07571234367787838,0.054662223905324936
distance_gnn_small,1,8,0.07990756737334388,0.09959569573402405
distance_gnn_small,1,9,0.06479097929384027,0.14103513956069946
distance_gnn_small,1,10,0.06987047301871437,0.10543350875377655
distance_gnn_small,1,11,0.05151052240814481,0.08662982285022736
distance_gnn_small,1,12,0.07145411581067103,0.10362555086612701
distance_gnn_small,1,13,0.06137406187398093,0.10990051180124283
distance_gnn_small,1,14,0.05365649823631559,0.08384919911623001
distance_gnn_small,1,15,0.0533884231533323,0.10571680963039398
distance_gnn_small,1,16,0.045103056888495176,0.13952802121639252
distance_gnn_small,1,17,0.04167235004050391,0.1458747386932373
distance_gnn_small,1,18,0.033005419586385996,0.11840017139911652
distance_gnn_small,1,19,0.044728193964277,0.11504329741001129
distance_gnn_small,1,20,0.05715330370834896,0.12010741978883743
distance_gnn_small,1,21,0.040180988875882964,0.1078634187579155
distance_gnn_small,1,22,0.02818374628467219,0.11755383759737015
