model_name,fold_id,iteration,train_loss,validation_loss
gcn_small,5,1,0.4979253911919761,0.026103083044290543
gcn_small,5,2,0.11509533984619275,0.03640911355614662
gcn_small,5,3,0.06212586674251055,0.10090784728527069
gcn_small,5,4,0.07662368853364074,0.0629459097981453
gcn_small,5,5,0.053770866048963445,0.029814844951033592
gcn_small,5,6,0.06574642243223232,0.03660817816853523
gcn_small,5,7,0.04643266148080951,0.047936271876096725
gcn_small,5,8,0.05107200877708301,0.05834538862109184
gcn_small,5,9,0.04507633834554438,0.04127173498272896
gcn_small,5,10,0.048280114209965655,0.02994590997695923
gcn_small,5,11,0.04758304308511709,0.043877530843019485
gcn_small,5,12,0.04482230449324114,0.054454538971185684
gcn_small,5,13,0.054326587993847694,0.04211096093058586
gcn_small,5,14,0.047644195588011494,0.02707737497985363
gcn_small,5,15,0.06235710694863085,0.039827316999435425
gcn_small,5,16,0.05190470984630417,0.051556020975112915
gcn_small,5,17,0.04545955634430835,0.03185556083917618
gcn_small,5,18,0.046152750781753606,0.026053499430418015
gcn_small,5,19,0.03660578300294123,0.032359495759010315
gcn_small,5,20,0.04477228956264362,0.04339059814810753
gcn_small,5,21,0.04525288521197804,0.042553242295980453
gcn_small,5,22,0.03974296211412078,0.02241954579949379
gcn_small,5,23,0.04400507020845748,0.02410711906850338
gcn_small,5,24,0.04572588950395584,0.04756578430533409
gcn_small,5,25,0.043643699926242494,0.040778450667858124
gcn_small,5,26,0.04557655954308677,0.020139722153544426
gcn_small,5,27,0.045604400663522254,0.03183803707361221
gcn_small,5,28,0.03266542058503419,0.03704194352030754
gcn_small,5,29,0.03730886723650129,0.042297281324863434
gcn_small,5,30,0.04096801647622334,0.03033483400940895
gcn_small,5,31,0.04304975911713483,0.03806611895561218
gcn_small,5,32,0.04156064340158513,0.06175712123513222
gcn_small,5,33,0.037999048175518975,0.028784891590476036
gcn_small,5,34,0.04395090775531635,0.03835774585604668
gcn_small,5,35,0.040745151212863755,0.05059821158647537
gcn_small,5,36,0.040855802530259416,0.0367603600025177
gcn_small,5,37,0.042348830062046386,0.03379686549305916
gcn_small,5,38,0.038260982682307564,0.04650918394327164
gcn_small,5,39,0.04718969487830212,0.034584540873765945
gcn_small,5,40,0.036467924321952616,0.015612304210662842
gcn_small,5,41,0.04990762563651068,0.03708793595433235
gcn_small,5,42,0.03541600658443936,0.05284234136343002
gcn_small,5,43,0.0278710100734443,0.027585942298173904
gcn_small,5,44,0.0403977161959598,0.026567241176962852
gcn_small,5,45,0.0246708760560866,0.03590261936187744
gcn_small,5,46,0.03223931626008268,0.03227921947836876
gcn_small,5,47,0.03704583396514257,0.02616526000201702
gcn_small,5,48,0.030972532111040334,0.025177428498864174
gcn_small,5,49,0.03434118795159616,0.026746230199933052
gcn_small,5,50,0.03316299800287213,0.027373237535357475
gcn_small,5,51,0.029050897349391067,0.03461714833974838
gcn_small,5,52,0.026168899512604663,0.045931119471788406
gcn_small,5,53,0.024753407885630924,0.04136291518807411
gcn_small,5,54,0.03505272524464026,0.05534391477704048
gcn_small,5,55,0.030915603695208568,0.02507559396326542
gcn_small,5,56,0.022675702969233196,0.03392023593187332
gcn_small,5,57,0.042082935833094415,0.03759937733411789
gcn_small,5,58,0.03377953802415153,0.03472842648625374
gcn_small,5,59,0.02850489158248692,0.061220932751894
gcn_small,5,60,0.030033678796730544,0.04049432650208473
