model_name,fold_id,iteration,train_loss,validation_loss
hist_gb,1,1,0.018334044014063165,0.009882993088866759
hist_gb,1,2,0.018106779776981326,0.0101331542627199
hist_gb,1,3,0.017901673805874554,0.010381647125758084
hist_gb,1,4,0.017716565659015995,0.010627498230579518
hist_gb,1,5,0.01753838212990312,0.010548590842843888
hist_gb,1,6,0.017370604613157172,0.010790052787627806
hist_gb,1,7,0.017209110978169684,0.010721919284308268
hist_gb,1,8,0.01705704153763195,0.010958509553241338
hist_gb,1,9,0.016910674493928676,0.010899978421345975
hist_gb,1,10,0.01677118796093109,0.0111325682414251
hist_gb,1,11,0.01663795810185622,0.011082498865305901
hist_gb,1,12,0.016510989977835403,0.011310110786103783
hist_gb,1,13,0.016389718175296213,0.011267596312320266
hist_gb,1,14,0.01627329244917824,0.011490777704755087
hist_gb,1,15,0.016163375265750787,0.011455049133167333
hist_gb,1,16,0.016056706321269657,0.01167342273175769
hist_gb,1,17,0.015956646985572077,0.011643662046832653
hist_gb,1,18,0.015857000105505007,0.011557928224011763
hist_gb,1,19,0.015760445287253542,0.011769011909853619
hist_gb,1,20,0.015668082207435513,0.011742996293280197
hist_gb,1,21,0.015576938965794816,0.011663195235595518
