model_name,fold_id,n_train,n_test,train_mae,train_rmse,train_r2,mae,rmse,r2,train_loss,validation_loss,mae_gap,rmse_gap
distance_gnn_small,1,56,15,0.1215451710990497,0.19310090744696196,-0.03623619720501692,0.12308351993560791,0.1600881536035763,-0.02703308748108091,0.03728796435253961,0.025628216564655304,0.0015383488365582065,-0.033012753843385645
distance_gnn_small,2,57,14,0.13703394981852748,0.17300701792019646,-0.3783098772432716,0.12820605295045034,0.263009899731329,0.07387427491865006,0.029931428793229554,0.06917421519756317,-0.00882789686807714,0.09000288181113253
distance_gnn_small,3,57,14,0.12512968611298947,0.2019501653174845,-0.04685799880154673,0.11152740035738264,0.13562258348134026,-0.030578117414626016,0.04078386906991925,0.018393484875559807,-0.013602285755606833,-0.06632758183614423
distance_gnn_small,4,57,14,0.13060937116020604,0.2032960349683591,-0.03274426802180175,0.11063329662595477,0.12202845975067575,0.020763197373805276,0.041329280849088705,0.014890945516526699,-0.01997607453425128,-0.08126757521768335
distance_gnn_small,5,57,14,0.11662767958222774,0.18593244585521992,0.09013357025138224,0.12406680413654872,0.16723439765153045,-0.18033986812153735,0.03457087539789969,0.027967343106865883,0.007439124554320983,-0.018698048203689477
distance_gnn_medium,1,56,15,0.3054455816745758,0.3383510305480694,-2.1814502516724583,0.34272944927215576,0.3555380911928429,-4.065686590647491,0.1144814235823495,0.12640734016895294,0.037283867597579956,0.01718706064477349
distance_gnn_medium,2,57,14,0.20011483786398904,0.2402774408777044,-1.6585536152765736,0.1816359715802329,0.2672528400826174,0.043752275611953606,0.05773324525931425,0.07142408192157745,-0.01847886628375614,0.026975399204913014
distance_gnn_medium,3,57,14,0.1489160134081255,0.2119732370873191,-0.15335078041695938,0.1592346259525844,0.19545545191043331,-1.1404863784103836,0.04493265285303718,0.03820282965898514,0.0103186125444589,-0.01651778517688579
distance_gnn_medium,4,57,14,0.1494620965238203,0.21374513517006416,-0.14163547228542472,0.09171861410140991,0.12345790960225547,-0.002312868749974273,0.04568698309492646,0.015241855755448341,-0.0577434824224104,-0.09028722556780869
distance_gnn_medium,5,57,14,0.11764472723007202,0.19234317352384514,0.026309726409518785,0.13965608392442977,0.17500801586343243,-0.2926225799332782,0.03699589873615064,0.03062780387699604,0.022011356694357748,-0.017335157660412714
